,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_seed,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
104,163.782666604,11.1183334192,-1146.26557328,-962.406285416,0.80693615817002218,0.97299505446038048,2.5,0.05,10,100,1252,2,1981,0.64507223155227078,"{'reg_alpha': 2, 'colsample_bytree': 0.97299505446038048, 'colsample_bylevel': 0.80693615817002218, 'learning_rate': 0.05, 'min_child_weight': 100, 'n_estimators': 1252, 'subsample': 0.64507223155227078, 'seed': 1981, 'max_depth': 10, 'gamma': 2.5}",112,-1146.54912398,-962.882418374,-1149.57844605,-959.7622306,-1142.66909251,-964.574207275,0.107375772977,0.07090062039,2.82784501428,1.99312264661
105,157.478000005,11.5443334579,-1139.29326234,-1022.19746508,0.8841613269223757,0.79724155896923399,2.5,0.03,11,100,1071,3,1981,0.71317407711811531,"{'reg_alpha': 3, 'colsample_bytree': 0.79724155896923399, 'colsample_bylevel': 0.8841613269223757, 'learning_rate': 0.03, 'min_child_weight': 100, 'n_estimators': 1071, 'subsample': 0.71317407711811531, 'seed': 1981, 'max_depth': 11, 'gamma': 2.5}",31,-1138.59704711,-1023.78462133,-1142.45340359,-1019.80051627,-1136.82929707,-1023.00725763,0.00588789975221,0.00329978514765,2.34821381375,1.72435422757
106,145.284666618,10.1879999638,-1143.46341951,-976.208665151,0.80370964635265063,0.9024914814427315,2,0.05,11,125,980,2,1981,0.85318377940863543,"{'reg_alpha': 2, 'colsample_bytree': 0.9024914814427315, 'colsample_bylevel': 0.80370964635265063, 'learning_rate': 0.05, 'min_child_weight': 125, 'n_estimators': 980, 'subsample': 0.85318377940863543, 'seed': 1981, 'max_depth': 11, 'gamma': 2}",74,-1142.03306687,-977.904153259,-1147.54949453,-973.557300761,-1140.80765482,-977.164541432,0.154389801251,0.0375854574367,2.93229310081,1.89895695234
107,92.0353333155,6.04700001081,-1140.39873326,-1081.83741735,0.86516177307297804,0.83504138242704584,2.5,0.03,9,125,756,2.5,1981,0.71649075348382407,"{'reg_alpha': 2.5, 'colsample_bytree': 0.83504138242704584, 'colsample_bylevel': 0.86516177307297804, 'learning_rate': 0.03, 'min_child_weight': 125, 'n_estimators': 756, 'subsample': 0.71649075348382407, 'seed': 1981, 'max_depth': 9, 'gamma': 2.5}",42,-1140.49368179,-1081.9227966,-1143.06609411,-1079.82926093,-1137.63637987,-1083.76019453,0.0715604097242,0.0109848521578,2.21768514205,1.60593212051
108,96.8776667118,5.41199994087,-1157.28846594,-1132.97796584,0.9727935965964809,0.8816437003092803,2.5,0.01,7,75,874,2.5,1981,0.74112370262968141,"{'reg_alpha': 2.5, 'colsample_bytree': 0.8816437003092803, 'colsample_bylevel': 0.9727935965964809, 'learning_rate': 0.01, 'min_child_weight': 75, 'n_estimators': 874, 'subsample': 0.74112370262968141, 'seed': 1981, 'max_depth': 7, 'gamma': 2.5}",169,-1156.069219,-1132.40517126,-1161.152754,-1131.2117716,-1154.64338268,-1135.31695467,1.98262740036,0.0220150704353,2.79378856426,1.7241813951
109,111.621333361,6.93033329646,-1138.19851526,-1046.18875253,0.90096640044437104,0.94383931519708608,1,0.03,8,50,955,2,1981,0.86773187015816244,"{'reg_alpha': 2, 'colsample_bytree': 0.94383931519708608, 'colsample_bylevel': 0.90096640044437104, 'learning_rate': 0.03, 'min_child_weight': 50, 'n_estimators': 955, 'subsample': 0.86773187015816244, 'seed': 1981, 'max_depth': 8, 'gamma': 1}",18,-1138.62516719,-1045.6306105,-1141.18295086,-1044.84497281,-1134.78737339,-1048.09067427,2.50210341875,0.0228083000046,2.62835191165,1.38257884469
110,111.251666705,7.31100002925,-1160.28548699,-940.392823933,0.98886134408576631,0.87013940782903343,1,0.1,8,50,949,1.5,1981,0.50396643809726149,"{'reg_alpha': 1.5, 'colsample_bytree': 0.87013940782903343, 'colsample_bylevel': 0.98886134408576631, 'learning_rate': 0.1, 'min_child_weight': 50, 'n_estimators': 949, 'subsample': 0.50396643809726149, 'seed': 1981, 'max_depth': 8, 'gamma': 1}",180,-1164.08775717,-937.588822699,-1160.83726827,-937.90173273,-1155.93136615,-945.687916372,2.08137542608,0.065823060901,3.35260925521,3.74637434672
111,106.323333263,6.60800004005,-1141.39828764,-1046.07624403,0.99680201684999137,0.72331437109971586,2,0.05,8,125,934,3,1981,0.91136500271096776,"{'reg_alpha': 3, 'colsample_bytree': 0.72331437109971586, 'colsample_bylevel': 0.99680201684999137, 'learning_rate': 0.05, 'min_child_weight': 125, 'n_estimators': 934, 'subsample': 0.91136500271096776, 'seed': 1981, 'max_depth': 8, 'gamma': 2}",56,-1142.02685853,-1047.38272575,-1142.0108557,-1043.74202689,-1140.15712893,-1047.10397946,2.07767059655,0.0240969747522,0.877649068948,1.65445905344
112,132.72633338,7.70999995867,-1149.33714471,-1120.14550342,0.9583634915100383,0.83194924426257166,1,0.01,9,125,1116,3,1981,0.56716930432784807,"{'reg_alpha': 3, 'colsample_bytree': 0.83194924426257166, 'colsample_bylevel': 0.9583634915100383, 'learning_rate': 0.01, 'min_child_weight': 125, 'n_estimators': 1116, 'subsample': 0.56716930432784807, 'seed': 1981, 'max_depth': 9, 'gamma': 1}",133,-1148.88226753,-1120.0336697,-1152.91461059,-1118.05948102,-1146.21450624,-1122.34335955,0.0975170293777,0.0509313501433,2.75414910578,1.7506729951
113,120.341000001,6.70300006866,-1148.75839968,-987.998436222,0.97835469784750317,0.96879099010199443,2.5,0.1,7,125,1084,2.5,1981,0.84173245008315056,"{'reg_alpha': 2.5, 'colsample_bytree': 0.96879099010199443, 'colsample_bylevel': 0.97835469784750317, 'learning_rate': 0.1, 'min_child_weight': 125, 'n_estimators': 1084, 'subsample': 0.84173245008315056, 'seed': 1981, 'max_depth': 7, 'gamma': 2.5}",130,-1148.68276005,-988.731752778,-1150.55309369,-986.896786859,-1147.03931791,-988.366769031,2.6325639871,0.0332966008802,1.43548781779,0.793106455445
